FID,COMMUNE,P_CODE,C_CODE,DISTRICT,DIST_PCODE,D_CODE,REGION,REG_PCODE,R_CODE,SOURCE,Shape__Area,Shape__Length
1,1er Arrondissement,MDG11101001,101001,Antananarivo Renivohitra,MDG11101,101,Analamanga,MDG11,11,"BNGRC (National Disaster Management Office), Adm4 polygons from 2011 cleaned and merged by OCHA.",10884876.2587891,18793.1999253189
2,2e Arrondissement,MDG11101002,101002,Antananarivo Renivohitra,MDG11101,101,Analamanga,MDG11,11,"BNGRC (National Disaster Management Office), Adm4 polygons from 2011 cleaned and merged by OCHA.",15461083.4580078,23982.1088412394
3,3e Arrondissement,MDG11101003,101003,Antananarivo Renivohitra,MDG11101,101,Analamanga,MDG11,11,"BNGRC (National Disaster Management Office), Adm4 polygons from 2011 cleaned and merged by OCHA.",7865938.87792969,16864.3869411596
4,4e Arrondissement,MDG11101004,101004,Antananarivo Renivohitra,MDG11101,101,Analamanga,MDG11,11,"BNGRC (National Disaster Management Office), Adm4 polygons from 2011 cleaned and merged by OCHA.",14636460.2314453,23153.756834182
5,5e Arrondissement,MDG11101005,101005,Antananarivo Renivohitra,MDG11101,101,Analamanga,MDG11,11,"BNGRC (National Disaster Management Office), Adm4 polygons from 2011 cleaned and merged by OCHA.",26867504.796875,31937.269859775
6,6e Arrondissement,MDG11101006,101006,Antananarivo Renivohitra,MDG11101,101,Analamanga,MDG11,11,"BNGRC (National Disaster Management Office), Adm4 polygons from 2011 cleaned and merged by OCHA.",19758558.1376953,24207.8804677659
7,Alasora,MDG11102010,102010,Antananarivo Avaradrano,MDG11102,102,Analamanga,MDG11,11,"BNGRC (National Disaster Management Office), Adm4 polygons from 2011 cleaned and merged by OCHA.",24852493.1425781,22002.0360339733
8,Ankadikely Ilafy,MDG11102039,102039,Antananarivo Avaradrano,MDG11102,102,Analamanga,MDG11,11,"BNGRC (National Disaster Management Office), Adm4 polygons from 2011 cleaned and merged by OCHA.",37004506.1806641,39188.5531107358
9,Ambohimanambola,MDG11102050,102050,Antananarivo Avaradrano,MDG11102,102,Analamanga,MDG11,11,"BNGRC (National Disaster Management Office), Adm4 polygons from 2011 cleaned and merged by OCHA.",19601413.0576172,21233.900988108
10,Sabotsy Namehana,MDG11102079,102079,Antananarivo Avaradrano,MDG11102,102,Analamanga,MDG11,11,"BNGRC (National Disaster Management Office), Adm4 polygons from 2011 cleaned and merged by OCHA.",25461483.5556641,33025.0897788946
11,Ambohimangakely,MDG11102099,102099,Antananarivo Avaradrano,MDG11102,102,Analamanga,MDG11,11,"BNGRC (National Disaster Management Office), Adm4 polygons from 2011 cleaned and merged by OCHA.",38431600.4638672,36354.8286911716
12,Manandriana,MDG11102210,102210,Antananarivo Avaradrano,MDG11102,102,Analamanga,MDG11,11,"BNGRC (National Disaster Management Office), Adm4 polygons from 2011 cleaned and merged by OCHA.",15313374.6357422,22874.1590454769
13,Ambohimalaza Miray,MDG11102230,102230,Antananarivo Avaradrano,MDG11102,102,Analamanga,MDG11,11,"BNGRC (National Disaster Management Office), Adm4 polygons from 2011 cleaned and merged by OCHA.",40798509.5576172,32612.7344865221
14,Fiaferana,MDG11102279,102279,Antananarivo Avaradrano,MDG11102,102,Analamanga,MDG11,11,"BNGRC (National Disaster Management Office), Adm4 polygons from 2011 cleaned and merged by OCHA.",37132349.2939453,30510.9528126988
15,Ambohimanga Rova,MDG11102319,102319,Antananarivo Avaradrano,MDG11102,102,Analamanga,MDG11,11,"BNGRC (National Disaster Management Office), Adm4 polygons from 2011 cleaned and merged by OCHA.",52187384.8623047,42763.4123227623
16,Viliahazo,MDG11102350,102350,Antananarivo Avaradrano,MDG11102,102,Analamanga,MDG11,11,"BNGRC (National Disaster Management Office), Adm4 polygons from 2011 cleaned and merged by OCHA.",28584188.5771484,29758.6990944982
17,Talata Volonondry,MDG11102379,102379,Antananarivo Avaradrano,MDG11102,102,Analamanga,MDG11,11,"BNGRC (National Disaster Management Office), Adm4 polygons from 2011 cleaned and merged by OCHA.",98897129.7050781,58974.4838820667
18,Anjeva Gara,MDG11102390,102390,Antananarivo Avaradrano,MDG11102,102,Analamanga,MDG11,11,"BNGRC (National Disaster Management Office), Adm4 polygons from 2011 cleaned and merged by OCHA.",28694216.1708984,30314.4901211462
19,Masindray,MDG11102410,102410,Antananarivo Avaradrano,MDG11102,102,Analamanga,MDG11,11,"BNGRC (National Disaster Management Office), Adm4 polygons from 2011 cleaned and merged by OCHA.",59575485.0957031,39760.253277587
20,Ankadinandriana,MDG11102430,102430,Antananarivo Avaradrano,MDG11102,102,Analamanga,MDG11,11,"BNGRC (National Disaster Management Office), Adm4 polygons from 2011 cleaned and merged by OCHA.",147028463.806641,63561.0614653904
21,Ambohidratrimo,MDG11103010,103010,Ambohidratrimo,MDG11103,103,Analamanga,MDG11,11,"BNGRC (National Disaster Management Office), Adm4 polygons from 2011 cleaned and merged by OCHA.",13757561.2861328,20295.345122411
22,Anosiala,MDG11103030,103030,Ambohidratrimo,MDG11103,103,Analamanga,MDG11,11,"BNGRC (National Disaster Management Office), Adm4 polygons from 2011 cleaned and merged by OCHA.",61313453.6914063,44372.9775527865
23,Talatamaty,MDG11103050,103050,Ambohidratrimo,MDG11103,103,Analamanga,MDG11,11,"BNGRC (National Disaster Management Office), Adm4 polygons from 2011 cleaned and merged by OCHA.",12425674.2900391,24297.4318552136
24,Antehiroka,MDG11103070,103070,Ambohidratrimo,MDG11103,103,Analamanga,MDG11,11,"BNGRC (National Disaster Management Office), Adm4 polygons from 2011 cleaned and merged by OCHA.",18407772.8300781,32666.2688105247
25,Iarinarivo,MDG11103090,103090,Ambohidratrimo,MDG11103,103,Analamanga,MDG11,11,"BNGRC (National Disaster Management Office), Adm4 polygons from 2011 cleaned and merged by OCHA.",16684878.5097656,24085.1712858385
26,Ivato Firaisana,MDG11103111,103111,Ambohidratrimo,MDG11103,103,Analamanga,MDG11,11,"BNGRC (National Disaster Management Office), Adm4 polygons from 2011 cleaned and merged by OCHA.",4167280.04980469,13094.0194619477
27,Ivato Aeroport,MDG11103112,103112,Ambohidratrimo,MDG11103,103,Analamanga,MDG11,11,"BNGRC (National Disaster Management Office), Adm4 polygons from 2011 cleaned and merged by OCHA.",7050807.80859375,12395.6319961922
28,Ambohitrimanjaka,MDG11103130,103130,Ambohidratrimo,MDG11103,103,Analamanga,MDG11,11,"BNGRC (National Disaster Management Office), Adm4 polygons from 2011 cleaned and merged by OCHA.",25465157.109375,23708.437469866
29,Mahitsy,MDG11103150,103150,Ambohidratrimo,MDG11103,103,Analamanga,MDG11,11,"BNGRC (National Disaster Management Office), Adm4 polygons from 2011 cleaned and merged by OCHA.",117749075.554688,82512.0530536016
30,Merimandroso,MDG11103171,103171,Ambohidratrimo,MDG11103,103,Analamanga,MDG11,11,"BNGRC (National Disaster Management Office), Adm4 polygons from 2011 cleaned and merged by OCHA.",63313673.2753906,39206.8004049282
31,Ambatolampy,MDG11103172,103172,Ambohidratrimo,MDG11103,103,Analamanga,MDG11,11,"BNGRC (National Disaster Management Office), Adm4 polygons from 2011 cleaned and merged by OCHA.",21860845.4140625,25508.8237611571
32,Ampangabe,MDG11103190,103190,Ambohidratrimo,MDG11103,103,Analamanga,MDG11,11,"BNGRC (National Disaster Management Office), Adm4 polygons from 2011 cleaned and merged by OCHA.",52179786.4951172,38570.9954423536
33,Ampanotokana,MDG11103210,103210,Ambohidratrimo,MDG11103,103,Analamanga,MDG11,11,"BNGRC (National Disaster Management Office), Adm4 polygons from 2011 cleaned and merged by OCHA.",155509850.46582,70937.8784400685
34,Mananjara,MDG11103230,103230,Ambohidratrimo,MDG11103,103,Analamanga,MDG11,11,"BNGRC (National Disaster Management Office), Adm4 polygons from 2011 cleaned and merged by OCHA.",13109703.2519531,19690.4827676558
35,Manjakavaradrano,MDG11103251,103251,Ambohidratrimo,MDG11103,103,Analamanga,MDG11,11,"BNGRC (National Disaster Management Office), Adm4 polygons from 2011 cleaned and merged by OCHA.",28835225.1552734,28112.6548073027
36,Antsahafilo,MDG11103252,103252,Ambohidratrimo,MDG11103,103,Analamanga,MDG11,11,"BNGRC (National Disaster Management Office), Adm4 polygons from 2011 cleaned and merged by OCHA.",50094584.53125,37557.4939944518
37,Ambohimanjaka,MDG11103270,103270,Ambohidratrimo,MDG11103,103,Analamanga,MDG11,11,"BNGRC (National Disaster Management Office), Adm4 polygons from 2011 cleaned and merged by OCHA.",40256026.7001953,36966.8473792915
38,Fiadanana,MDG11103290,103290,Ambohidratrimo,MDG11103,103,Analamanga,MDG11,11,"BNGRC (National Disaster Management Office), Adm4 polygons from 2011 cleaned and merged by OCHA.",17320939.5917969,20168.5262218234
39,Mahabo,MDG11103310,103310,Ambohidratrimo,MDG11103,103,Analamanga,MDG11,11,"BNGRC (National Disaster Management Office), Adm4 polygons from 2011 cleaned and merged by OCHA.",79958574.2744141,48173.8493404733
