N;REGION;DISTRICT;COMMUNE;FOKONTANY;CENTRE DE VOTE;CODE BV;BUREAU DE VOTE
1;ANALAMANGA;AMBOHIDRATRIMO;AMBATO;AMBATO;CEG AMBATO;110101010101;CEG AMBATO 1
2;ANALAMANGA;AMBOHIDRATRIMO;AMBATO;AMBANIMASO;EPP AMBANIMASO;110101020101;EPP AMBANIMASO S.1
3;ANALAMANGA;AMBOHIDRATRIMO;AMBATO;AMBATOHARANANA;BUR FKT AMBATOHARANANA;110101030101;BUR FKT AMBATOHARANANA
4;ANALAMANGA;AMBOHIDRATRIMO;AMBATO;AMBODIMANGA;BUR FKT AMBODIMANGA;110101040101;BUR FKT AMBODIMANGA
5;ANALAMANGA;AMBOHIDRATRIMO;AMBATO;AMBOHIJORERY;EPP TSARAHONENANA;110101050101;EPP TSARAHONENANA S.1
6;ANALAMANGA;AMBOHIDRATRIMO;AMBATO;AMBOHIMITSINJORANO;EPP MAROVATO;110101060101;EPP MAROVATO S.1
7;ANALAMANGA;AMBOHIDRATRIMO;AMBATO;AMPANOTOKANA;BUR FKT AMPANOTOKANA;110101070101;BUR FKT AMPANOTOKANA
8;ANALAMANGA;AMBOHIDRATRIMO;AMBATO;ANKADIBE;EPP ANKADIBE;110101080101;EPP ANKADIBE S.1
9;ANALAMANGA;AMBOHIDRATRIMO;AMBATO;ANKAFOTRA;EPP ANKAFOTRA;110101090101;EPP ANKAFOTRA S.1
10;ANALAMANGA;AMBOHIDRATRIMO;AMBATO;ANTANETIBE;BUR FKT ANTANETIBE;110101100101;BUR FKT ANTANETIBE
11;ANALAMANGA;AMBOHIDRATRIMO;AMBATO;ANTSAHALAVA;TRPKT ANTSAHALAVA;110101110101;TRPKT ANTSAHALAVA
12;ANALAMANGA;AMBOHIDRATRIMO;AMBATO;MIARAMASOANDRO;EPP MIARAMASOANDRO;110101120101;EPP MIARAMASOANDRO S.1
13;ANALAMANGA;AMBOHIDRATRIMO;AMBATO;MAHITSITADY;EPP MAHITSITADY;110101130101;EPP MAHITSITADY S.1
14;ANALAMANGA;AMBOHIDRATRIMO;AMBATO;SOALOKA;EPP SOALOKA;110101140101;EPP SOALOKA S.1
15;ANALAMANGA;AMBOHIDRATRIMO;AMBATO;VATOVANDANA;EPP VATOVANDANA;110101150101;EPP VATOVANDANA S.1
16;ANALAMANGA;AMBOHIDRATRIMO;AMBATOLAMPY;AMBATOLAMPY;EPP AMBATOLAMPY;110102010101;EPP AMBATOLAMPY S1
17;ANALAMANGA;AMBOHIDRATRIMO;AMBATOLAMPY;AMBATOLAMPY;EPP AMBATOLAMPY;110102010102;EPP AMBATOLAMPY S2
