REGION;DISTRICT;COMMUNE;FOKONTANY;CV;CODE BV;BUREAU DE VOTE;"NOMBRES ELECTEURS"
ANALAMANGA;AMBOHIDRATRIMO;AMBATO;AMBATO;CEG AMBATO;1 10 101 010 101;CEG AMBATO 1;615
ANALAMANGA;AMBOHIDRATRIMO;AMBATO;AMBANIMASO;EPP AMBANIMASO;1 10 101 020 101;EPP AMBANIMASO S.1;321
ANALAMANGA;AMBOHIDRATRIMO;AMBATO;AMBATOHARANANA;BUR FKT AMBATOHARANANA;1 10 101 030 101;BUR FKT AMBATOHARANANA;273
ANALAMANGA;AMBOHIDRATRIMO;AMBATO;AMBODIMANGA;BUR FKT AMBODIMANGA;1 10 101 040 101;BUR FKT AMBODIMANGA;209
ANALAMANGA;AMBOHIDRATRIMO;AMBATO;AMBOHIJORERY;EPP TSARAHONENANA;1 10 101 050 101;EPP TSARAHONENANA S.1;379
ANALAMANGA;AMBOHIDRATRIMO;AMBATO;AMBOHIMITSINJORANO;EPP MAROVATO;1 10 101 060 101;EPP MAROVATO S.1;564
ANALAMANGA;AMBOHIDRATRIMO;AMBATO;AMPANOTOKANA;BUR FKT AMPANOTOKANA;1 10 101 070 101;BUR FKT AMPANOTOKANA;250
ANALAMANGA;AMBOHIDRATRIMO;AMBATO;ANKADIBE;EPP ANKADIBE;1 10 101 080 101;EPP ANKADIBE S.1;258
ANALAMANGA;AMBOHIDRATRIMO;AMBATO;ANKAFOTRA;EPP ANKAFOTRA;1 10 101 090 101;EPP ANKAFOTRA S.1;524
ANALAMANGA;AMBOHIDRATRIMO;AMBATO;ANTANETIBE;BUR FKT ANTANETIBE;1 10 101 100 101;BUR FKT ANTANETIBE;475
ANALAMANGA;AMBOHIDRATRIMO;AMBATO;ANTSAHALAVA;TRPKT ANTSAHALAVA;1 10 101 110 101;TRPKT ANTSAHALAVA;212
ANALAMANGA;AMBOHIDRATRIMO;AMBATO;MIARAMASOANDRO;EPP MIARAMASOANDRO;1 10 101 120 101;EPP MIARAMASOANDRO S.1;397
ANALAMANGA;AMBOHIDRATRIMO;AMBATO;MAHITSITADY;EPP MAHITSITADY;1 10 101 130 101;EPP MAHITSITADY S.1;230
ANALAMANGA;AMBOHIDRATRIMO;AMBATO;SOALOKA;EPP SOALOKA;1 10 101 140 101;EPP SOALOKA S.1;489
ANALAMANGA;AMBOHIDRATRIMO;AMBATO;VATOVANDANA;EPP VATOVANDANA;1 10 101 150 101;EPP VATOVANDANA S.1;334
ANALAMANGA;AMBOHIDRATRIMO;AMBATOLAMPY;AMBATOLAMPY;EPP AMBATOLAMPY;1 10 102 010 101;EPP AMBATOLAMPY S1;494
ANALAMANGA;AMBOHIDRATRIMO;AMBATOLAMPY;AMBATOLAMPY;EPP AMBATOLAMPY;1 10 102 010 102;EPP AMBATOLAMPY S2;460
ANALAMANGA;AMBOHIDRATRIMO;AMBATOLAMPY;AMBATOLAMPY;EPP AMBATOLAMPY;1 10 102 010 103;EPP AMBATOLAMPY S3;537
ANALAMANGA;AMBOHIDRATRIMO;AMBATOLAMPY;AMBATOLAMPY;EPP AMBATOLAMPY;1 10 102 010 104;EPP AMBATOLAMPY S4;484
ANALAMANGA;AMBOHIDRATRIMO;AMBATOLAMPY;AMBOHIDAVA;EPP AMBOHIDAVA;1 10 102 020 101;EPP AMBOHIDAVA S.1;654
ANALAMANGA;AMBOHIDRATRIMO;AMBATOLAMPY;AMBOHIMARINA;TRPKLN AMBOHIMARINA;1 10 102 030 101;TRPKLN AMBOHIMARINA S1;582
ANALAMANGA;AMBOHIDRATRIMO;AMBATOLAMPY;AMBOHIMARINA;TRPKLN AMBOHIMARINA;1 10 102 030 102;TRPKLN AMBOHIMARINA S2;665
ANALAMANGA;AMBOHIDRATRIMO;AMBATOLAMPY;ANJOMAKELY;EPP ANJOMAKELY;1 10 102 040 101;EPP ANJOMAKELY  Salle 1;494
ANALAMANGA;AMBOHIDRATRIMO;AMBATOLAMPY;ANJOMAKELY;EPP ANJOMAKELY;1 10 102 040 102;EPP ANJOMAKELY Salle 2;597
ANALAMANGA;AMBOHIDRATRIMO;AMBATOLAMPY;ANJOMAKELY;EPP ANJOMAKELY;1 10 102 040 103;EPP ANJOMAKELY Salle 3;526
ANALAMANGA;AMBOHIDRATRIMO;AMBATOLAMPY;AVARAJOZORO;TRPKLN AVARAJOZORO;1 10 102 050 101;TRPKLN AVARAJOZORO Salle 1;597
ANALAMANGA;AMBOHIDRATRIMO;AMBATOLAMPY;AVARAJOZORO;TRPKLN AVARAJOZORO;1 10 102 050 102;TRPKLN AVARAJOZORO Salle 2;582
ANALAMANGA;AMBOHIDRATRIMO;AMBATOLAMPY;AVARAJOZORO;TRPKLN AVARAJOZORO;1 10 102 050 103;TRPKLN AVARAJOZORO Salle 3;699
ANALAMANGA;AMBOHIDRATRIMO;AMBATOLAMPY;AVARAJOZORO;TRPKLN AVARAJOZORO;1 10 102 050 104;TRPKLN AVARAJOZORO Salle 4;640
ANALAMANGA;AMBOHIDRATRIMO;AMBATOLAMPY;AMBODIFASINA;EPP AMBODIFASINA;1 10 102 060 101;EPP AMBODIFASINA S1;632
ANALAMANGA;AMBOHIDRATRIMO;AMBATOLAMPY;AMBODIFASINA;EPP AMBODIFASINA;1 10 102 060 102;EPP AMBODIFASINA S2;592
ANALAMANGA;AMBOHIDRATRIMO;AMBATOLAMPY;AMBODIFASINA;EPP AMBODIFASINA;1 10 102 060 103;EPP AMBODIFASINA S3;519
ANALAMANGA;AMBOHIDRATRIMO;AMBATOLAMPY;SOAVINARIVO;EPP SOAVINARIVO;1 10 102 070 101;EPP SOAVINARIVO S1;529
ANALAMANGA;AMBOHIDRATRIMO;AMBATOLAMPY;SOAVINARIVO;EPP SOAVINARIVO;1 10 102 070 102;EPP SOAVINARIVO S2;463
ANALAMANGA;AMBOHIDRATRIMO;AMBATOLAMPY;SOAVINARIVO;EPP SOAVINARIVO;1 10 102 070 103;EPP SOAVINARIVO S3;496
ANALAMANGA;AMBOHIDRATRIMO;AMBATOLAMPY;AMBOHINOME;TRPKLN AMBOHINOME;1 10 102 080 101;TRPKLN AMBOHINOME;647
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIDRATRIMO;AMBOHIDRATRIMO;EPP AMBOHIDRATRIMO;1 10 103 010 101;EPP AMBOHIDRATRIMO S.1;624
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIDRATRIMO;AMBOHIDRATRIMO;EPP AMBOHIDRATRIMO;1 10 103 010 102;EPP AMBOHIDRATRIMO S.2;426
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIDRATRIMO;AMBOHIDRATRIMO;EPP AMBOHIDRATRIMO;1 10 103 010 103;EPP AMBOHIDRATRIMO S.3;448
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIDRATRIMO;AMBOHIDRATRIMO;EPP AMBOHIDRATRIMO;1 10 103 010 104;EPP AMBOHIDRATRIMO S.4;594
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIDRATRIMO;AMBOHIDRATRIMO;EPP AMBOHIDRATRIMO;1 10 103 010 105;EPP AMBOHIDRATRIMO S.5;677
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIDRATRIMO;AMBOHIDRATRIMO;EPP AMBOHIDRATRIMO;1 10 103 010 106;EPP AMBOHIDRATRIMO S.6;504
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIDRATRIMO;ANTSIMOMPARIHY;CEG AMBOHIDRATRIMO;1 10 103 020 101;CEG AMBOHIDRATRIMO S.1;478
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIDRATRIMO;ANTSIMOMPARIHY;CEG AMBOHIDRATRIMO;1 10 103 020 102;CEG AMBOHIDRATRIMO S.2;579
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIDRATRIMO;ANTSIMOMPARIHY;CEG AMBOHIDRATRIMO;1 10 103 020 103;CEG AMBOHIDRATRIMO S.3;623
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIDRATRIMO;SOAMANANETY;BUR FKT SOAMANANETY;1 10 103 030 101;BUR FKT SOAMANANETY S.1;546
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIDRATRIMO;SOAMANANETY;BUR FKT SOAMANANETY;1 10 103 030 102;BUR FKT SOAMANANETY S.2;646
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIDRATRIMO;AMBOHIDEHILAHY;TRPKLN AMBOHIDEHILAHY;1 10 103 040 101;TRPKLN AMBOHIDEHILAHY S1;659
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIDRATRIMO;AMBOHIDEHILAHY;TRPKLN AMBOHIDEHILAHY;1 10 103 040 102;TRPKLN AMBOHIDEHILAHY S2;206
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIDRATRIMO;AMBOVO;BUR FKT AMBOVO;1 10 103 050 101;BUR FKT AMBOVO S.1;662
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIDRATRIMO;AMBOVO;BUR FKT AMBOVO;1 10 103 050 102;BUR FKT AMBOVO S.2;682
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIDRATRIMO;AMBOVO;BUR FKT AMBOVO;1 10 103 050 103;BUR FKT AMBOVO S.3;115
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIDRATRIMO;AMBOHITSIROA EST;EPP AMBOHITSIROA EST;1 10 103 060 101;EPP AMBOHITSIROA EST S.1;686
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIDRATRIMO;AMBOHITSIROA EST;EPP AMBOHITSIROA EST;1 10 103 060 102;EPP AMBOHITSIROA EST S.2;698
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIDRATRIMO;AMBOHITSIROA EST;EPP AMBOHITSIROA EST;1 10 103 060 103;EPP AMBOHITSIROA EST S.3;545
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIDRATRIMO;AMBOHITSIROA EST;EPP AMBOHITSIROA EST;1 10 103 060 104;EPP AMBOHITSIROA EST S.4;623
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIDRATRIMO;AMBOHITSIROA EST;EPP AMBOHITSIROA EST;1 10 103 060 105;EPP AMBOHITSIROA EST S.5;540
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIDRATRIMO;AMBOHITSIROA EST;EPP AMBOHITSIROA EST;1 10 103 060 106;EPP AMBOHITSIROA EST S.6;598
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIDRATRIMO;AMBODISAHA;BUR FKT AMBODISAHA;1 10 103 070 101;BUR FKT AMBODISAHA Salle 1;568
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIDRATRIMO;AMBODISAHA;BUR FKT AMBODISAHA;1 10 103 070 102;BUR FKT AMBODISAHA Salle 2;595
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIDRATRIMO;AMBODISAHA;TRANO ANDRINIRINA MARIUS AMBOD;S A  H   A 1 10 103 070 201;TRANO ANDRINIRINA MARIUS AMBODISAHA S;lle 3600
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIDRATRIMO;AMPANATAOVANA;EPP AMPANATAOVANA;1 10 103 080 101;EPP AMPANATAOVANA S.1;618
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIDRATRIMO;ANTOHIBE;EPP ANTOHIBE;1 10 103 090 101;EPP ANTOHIBE S.1;478
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIDRATRIMO;ANTOHIBE;EPP ANTOHIBE;1 10 103 090 102;EPP ANTOHIBE S.2;509
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIMANJAKA;AMBOHIMANJAKA;BURCR AMBOHIMANJAKA;1 10 104 010 101;BUR CR AMBOHIMANJAKA;461
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIMANJAKA;AMBOHIDRAZAKA;BUR FKT AMBOHIDRAZAKA;1 10 104 020 101;BUR FKT AMBOHIDRAZAKA;52
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIMANJAKA;AMBOHIMARINA OUEST;EPP AMBOHIMARINA;1 10 104 030 101;EPP AMBOHIMARINA S.1;612
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIMANJAKA;AMBOHITRINIBE;EPP ANKERIBE;1 10 104 040 101;EPP ANKERIBE S.1;367
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIMANJAKA;AMBOHITRINIBE;EPP ANKERIBE;1 10 104 040 102;EPP ANKERIBE S.2;350
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIMANJAKA;ANDRANOMASINA;EPP ANDRANOMASINA;1 10 104 050 101;EPP ANDRANOMASINA S.1;419
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIMANJAKA;ANDRANOMASINA;EPP ANDRANOMASINA;1 10 104 050 102;EPP ANDRANOMASINA S.2;506
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIMANJAKA;ANJEHIVOLA;BUR FKT ANJEHIVOLA;1 10 104 060 101;BUR FKT ANJEHIVOLA;295
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIMANJAKA;ANKONDODONA;Ecole Privee NY ONY;1 10 104 070 101;Ecole Privee NY ONY;212
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIMPIHAONANA;AMBOHIMPIHAONANA;BUR FKT AMBOHIMPIHAONANA;1 10 105 010 101;BUR FKT AMBOHIMPIHAONANA;601
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIMPIHAONANA;AMBATOTELO;EPP AMBATOTELO;1 10 105 020 101;EPP AMBATOTELO S.1;302
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIMPIHAONANA;AMBOHIBAO;EPP AMBOHIBAO;1 10 105 030 101;EPP AMBOHIBAO S.1;158
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIMPIHAONANA;AMPARAFARAVATO;EPP AMPARAFARAVATO;1 10 105 040 101;EPP AMPARAFARAVATO S.1;179
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIMPIHAONANA;ANKADIFOTSY;BUR FKT ANKADIFOTSY;1 10 105 050 101;BUR FKT ANKADIFOTSY;248
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIMPIHAONANA;ANTANAMBAO;BUR FKT ANTANAMBAO;1 10 105 060 101;BUR FKT ANTANAMBAO;296
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIMPIHAONANA;MAHARIDAZA;EPP MAHARIDAZA;1 10 105 070 101;EPP MAHARIDAZA S.1;526
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIMPIHAONANA;AVARATRIMANGABE;BUR FKT AVARATRIMANGABE;1 10 105 080 101;BUR FKT AVARATRIMANGABE;121
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIMPIHAONANA;AMBOHIMITSINJO;BUR FKT AMBOHIMITSINJO;1 10 105 090 101;BUR FKT AMBOHIMITSINJO;143
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIMPIHAONANA;TSARAHONENANA;BUR FKT TSARAHONENANA;1 10 105 100 101;BUR FKT TSARAHONENANA;209
ANALAMANGA;AMBOHIDRATRIMO;AMBOHIMPIHAONANA;AMPAHIMARO;BUR FKT AMPAHIMARO;1 10 105 110 101;BUR FKT AMPAHIMARO;246
ANALAMANGA;AMBOHIDRATRIMO;AMBOHITRIMANJAKA;MAHITSY AVARATRA;BURFKT MAHITSY AVARATRA;1 10 106 010 101;BURFKT MAHITSY AVARATRA S.1;659
ANALAMANGA;AMBOHIDRATRIMO;AMBOHITRIMANJAKA;MAHITSY AVARATRA;BURFKT MAHITSY AVARATRA;1 10 106 010 102;BURFKT MAHITSY AVARATRA S.2;666
ANALAMANGA;AMBOHIDRATRIMO;AMBOHITRIMANJAKA;MAHITSY FIRAISANA;EPP MAHITSY FIRAISANA;1 10 106 020 101;EPP MAHITSY FIRAISANA Salle 1;433
ANALAMANGA;AMBOHIDRATRIMO;AMBOHITRIMANJAKA;MAHITSY FIRAISANA;EPP MAHITSY FIRAISANA;1 10 106 020 102;EPP MAHITSY FIRAISANA Salle 2;513
ANALAMANGA;AMBOHIDRATRIMO;AMBOHITRIMANJAKA;MAHITSY FIRAISANA;EPP MAHITSY FIRAISANA;1 10 106 020 103;EPP MAHITSY FIRAISANA Salle 3;488
ANALAMANGA;AMBOHIDRATRIMO;AMBOHITRIMANJAKA;LEHILAVA;BURFKT LEHILAVA;1 10 106 030 101;BURFKT LEHILAVA S.1;585
ANALAMANGA;AMBOHIDRATRIMO;AMBOHITRIMANJAKA;LEHILAVA;BURFKT LEHILAVA;1 10 106 030 102;BURFKT LEHILAVA S.2;457
ANALAMANGA;AMBOHIDRATRIMO;AMBOHITRIMANJAKA;AMPAHIBE;BURFKT AMPAHIBE;1 10 106 040 101;BURFKT AMPAHIBE S.1;666
ANALAMANGA;AMBOHIDRATRIMO;AMBOHITRIMANJAKA;AMPAHIBE;BURFKT AMPAHIBE;1 10 106 040 102;BURFKT AMPAHIBE S.2;699
ANALAMANGA;AMBOHIDRATRIMO;AMBOHITRIMANJAKA;FIAKARANA;EPP FIAKARANA;1 10 106 050 101;EPP FIAKARANA Salle 1;558
ANALAMANGA;AMBOHIDRATRIMO;AMBOHITRIMANJAKA;FIAKARANA;EPP FIAKARANA;1 10 106 050 102;EPP FIAKARANA Salle 2;542
ANALAMANGA;AMBOHIDRATRIMO;AMBOHITRIMANJAKA;FIAKARANA;EPP FIAKARANA;1 10 106 050 103;EPP FIAKARANA Salle 3;492
ANALAMANGA;AMBOHIDRATRIMO;AMBOHITRIMANJAKA;ANTSAHAFOHY;EPP ANTSAHAFOHY;1 10 106 060 101;EPP ANTSAHAFOHY Salle 1;487
ANALAMANGA;AMBOHIDRATRIMO;AMBOHITRIMANJAKA;ANTSAHAFOHY;EPP ANTSAHAFOHY;1 10 106 060 102;EPP ANTSAHAFOHY Salle 2;658
ANALAMANGA;AMBOHIDRATRIMO;AMBOHITRIMANJAKA;ANTSAHAFOHY;EPP ANTSAHAFOHY;1 10 106 060 103;EPP ANTSAHAFOHY Salle 3;522
ANALAMANGA;AMBOHIDRATRIMO;AMBOHITRIMANJAKA;AMBODIVOANJO;BURFKT AMBODIVOANJO;1 10 106 070 101;BURFKT AMBODIVOANJO S1;389
ANALAMANGA;AMBOHIDRATRIMO;AMBOHITRIMANJAKA;AMBODIVOANJO;BURFKT AMBODIVOANJO;1 10 106 070 102;BURFKT AMBODIVOANJO S2;371
ANALAMANGA;AMBOHIDRATRIMO;AMBOHITRIMANJAKA;AMBATOLAMPY SUD;EPP AMBATOLAMPY;1 10 106 080 101;EPP AMBATOLAMPY SALLE 1;288
ANALAMANGA;AMBOHIDRATRIMO;AMBOHITRIMANJAKA;ANTSAHAVOLO;TRANOMPOKOTANY VAOVAO;1 10 106 090 101;TRANOMPOKOTANY VAOVAO;269
ANALAMANGA;AMBOHIDRATRIMO;AMBOHITRIMANJAKA;NAMORANA;BURFKT NAMORONA;1 10 106 100 101;BURFKT NAMORONA;517
ANALAMANGA;AMBOHIDRATRIMO;AMBOHITRIMANJAKA;AMPIRIAKA;EPP AMPIRIAKA;1 10 106 110 101;EPP AMPIRIAKA S.1;412
